Pick,Player,Team_x,Pos,HT,WT,Age_x,Pre-Draft Team,Nationality,Player Link,League,GP,GS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,label,Team_encoded,Position_encoded
32,,,,,285,22,,,,,134.0,17.11111111111111,0.625,0.623,18.0,17.0,17.5,4.8,16.9,1.2,7.8,25.1,122.4,-7.0,1.6,118.3,94.7,26.4,-32,75,0
33,,,,,265,21,,,,,34.0,17.11111111111111,0.548,0.528,12.2,25.1,19.0,2.2,13.6,1.3,20.8,25.8,171.2,-6.5,1.4,108.6,83.7,28.3,-33,35,0
34,,,,,195,21,,,,,101.0,17.11111111111111,0.536,0.497,2.8,9.6,6.3,26.8,17.0,1.5,0.7,24.4,150.7,0.6,1.2,107.6,104.7,17.9,-34,44,3
35,,,,,235,22,,,,,12.0,5.0,0.485,0.446,10.7,22.6,16.5,14.6,16.0,2.5,1.1,21.8,130.4,-1.4,1.1,105.0,102.2,16.1,-35,23,5
36,,,,,215,20,,,,,66.0,17.11111111111111,0.526,0.504,4.3,9.7,7.0,12.3,9.9,1.6,0.8,24.1,145.6,-0.8,1.2,112.2,105.3,17.7,-36,55,3
37,,,,,210,22,,,,,35.0,17.11111111111111,0.52,0.484,6.9,24.6,15.5,29.3,16.3,2.2,1.6,26.9,145.4,0.2,1.3,108.8,95.2,22.3,-37,45,4
38,,,,,190,23,,,,,127.0,17.11111111111111,0.571,0.552,1.9,8.8,5.6,19.5,18.4,3.2,0.7,18.6,153.3,0.3,1.2,110.9,97.5,15.0,-38,72,3
39,,,,,210,21,,,,,129.0,17.11111111111111,0.543,0.511,7.7,17.2,12.4,15.1,13.3,2.2,1.8,25.1,148.1,-1.9,1.3,110.4,98.6,20.6,-39,71,1
40,,,,,210,19,,,,,34.0,17.11111111111111,0.493,0.462,7.2,14.0,10.6,19.3,16.0,2.0,0.7,26.2,132.3,-2.6,1.1,101.3,99.5,17.1,-40,9,8
41,,,,,230,22,,,,,141.0,17.11111111111111,0.597,0.59,10.8,20.7,16.1,5.1,14.0,1.2,15.3,18.8,143.5,-3.6,1.5,117.2,87.1,24.8,-41,42,2
42,,,,,230,22,,,,,146.0,17.11111111111111,0.546,0.51,6.9,14.2,10.5,13.4,11.6,2.2,0.9,24.9,153.3,-1.5,1.3,114.4,96.2,20.1,-42,91,1
43,,,,,215,20,,,,,69.0,17.11111111111111,0.527,0.47,9.6,18.7,14.1,16.2,16.2,1.8,2.4,19.9,131.4,-1.1,1.3,112.1,94.3,18.8,-43,91,1
44,,,,,253,23,,,,,133.0,17.11111111111111,0.605,0.567,11.3,23.3,17.6,8.3,17.7,0.9,10.9,24.2,126.3,-6.1,1.6,113.2,87.4,25.3,-44,79,0
45,,,,,260,22,,,,,28.0,22.0,0.596,0.574,16.1,24.3,20.1,4.1,14.9,1.7,0.3,18.1,126.8,-4.2,1.3,117.3,110.9,19.0,-45,82,0
46,,,,,234,21,,,,,99.0,17.11111111111111,0.555,0.548,12.6,20.1,16.4,3.8,16.7,1.4,5.7,24.9,110.0,-7.1,1.4,104.5,95.7,20.3,-46,20,1
47,,,,,290,19,,,,,30.0,17.11111111111111,0.584,0.556,13.2,25.3,19.2,7.7,20.9,1.8,3.3,24.0,147.9,-7.5,1.4,105.4,101.4,20.4,-47,53,0
