WT,Age_x,GP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,Team_encoded,Position_encoded,PREDICTION,Player,RowIndex
275,24,149.0,0.571,0.614,16.4,22.9,19.7,4.6,18.3,2.8,8.3,15.5,103.4,-4.3,1.5,112.2,82.8,20.7,30,4,-428.9327732950538,Joey Dorsey,31
230,21,107.0,0.544,0.516,11.3,19.5,15.5,10.2,18.2,2.7,2.3,17.6,138.8,-2.6,1.3,109.8,88.6,17.3,57,2,-448.64397107193287,Luc Mbah a Moute,32
220,21,85.0,0.498,0.446,5.3,17.4,11.4,4.1,18.3,1.6,18.7,15.6,160.7,-5.2,1.3,95.6,86.4,19.0,1,0,-454.8139120954934,Mickell Gladness,33
270,21,136.0,0.626,0.605,13.2,18.6,16.1,13.2,14.9,1.1,9.7,24.7,228.3,-3.2,1.6,122.0,93.0,26.4,14,0,-489.157456233581,Roy Hibbert,34
241,22,125.0,0.613,0.582,11.9,20.8,16.6,5.8,15.3,1.8,2.5,19.4,159.9,-3.9,1.6,119.5,87.4,20.3,23,2,-496.67719236473243,Darnell Jackson,35
180,23,127.0,0.541,0.506,7.0,9.8,8.4,23.6,11.0,3.7,0.5,34.2,147.8,-1.4,1.3,112.9,103.0,27.2,37,8,-536.5186547532933,Bo McCalebb,36
195,21,132.0,0.617,0.595,4.3,10.8,7.6,11.7,10.8,1.6,1.0,23.5,168.3,-1.3,1.4,120.3,103.8,20.2,59,6,-538.4773831906882,Shan Foster,37
245,21,41.0,0.532,0.534,10.4,15.9,13.3,11.5,19.7,2.1,6.3,25.7,103.4,-6.8,1.3,99.5,94.3,18.6,56,2,-555.5723535176578,Walter Sharpe,38
190,22,110.0,0.619,0.584,1.2,9.1,5.4,23.4,19.3,5.3,1.6,20.9,167.1,0.7,1.5,116.3,85.4,20.9,23,5,-571.5897895792123,Mario Chalmers,39
240,23,110.0,0.594,0.566,9.8,16.2,13.2,5.6,15.7,1.2,5.4,25.7,156.8,-6.7,1.4,112.3,95.9,22.5,32,3,-577.7610121866999,Charles Rhodes,40
240,23,124.0,0.532,0.508,10.6,21.2,16.0,8.9,11.8,1.4,3.4,25.4,141.4,-3.3,1.3,110.2,89.1,20.8,67,4,-581.4351682837587,Brian Butch,41
220,21,117.0,0.58,0.564,7.0,10.3,8.7,14.3,14.1,1.1,2.0,23.6,154.2,-2.0,1.4,115.9,109.4,19.3,44,9,-583.3621907287334,Malik Hairston,42
185,22,123.0,0.546,0.476,3.4,10.1,6.8,31.1,17.4,2.9,0.2,27.8,161.4,-0.3,1.3,111.1,102.4,20.1,60,8,-613.377836028458,Sean Singletary,43
185,23,62.0,0.578,0.517,9.5,15.8,12.5,15.2,16.4,3.3,3.4,29.9,154.3,-6.2,1.4,111.3,97.4,24.6,38,2,-629.5088048227053,Trey Gilder,44
220,22,109.0,0.559,0.535,5.5,13.6,9.9,11.8,14.8,1.3,2.9,22.3,162.0,-2.4,1.2,110.4,91.2,17.4,23,10,-630.1262777585405,Brandon Rush,45
220,22,126.0,0.624,0.583,7.0,19.9,13.5,12.3,13.8,2.1,1.5,17.0,167.6,-0.3,1.5,127.2,101.2,20.4,44,2,-633.524397128905,Maarty Leunen,46
215,22,93.7764705882353,0.5611294117647058,0.5319882352941175,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,16.05529411764706,2.0646341463414632,4.08048780487805,23.206097560975607,146.01058823529405,-2.9073170731707325,1.3482352941176472,111.15975609756096,95.70121951219511,19.890243902439018,48,7,-650.0982540048554,Michael Lee,47
237,24,127.0,0.57,0.559,10.3,14.7,12.6,12.9,22.3,2.5,4.0,16.8,146.1,-2.8,1.4,107.7,95.3,15.2,14,2,-669.5802118540857,Pat Ewing,48
215,22,93.7764705882353,0.5611294117647058,0.5319882352941175,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,16.05529411764706,2.0646341463414632,4.08048780487805,23.206097560975607,146.01058823529405,-2.9073170731707325,1.3482352941176472,111.15975609756096,95.70121951219511,19.890243902439018,17,2,-675.0118682794706,Keith Brumbaugh,49
245,23,114.0,0.631,0.594,11.1,13.9,12.5,14.2,16.7,1.1,6.6,19.5,134.8,-1.9,1.6,121.9,94.9,20.3,27,1,-680.0524137735814,David Padgett,50
235,21,101.0,0.544,0.517,8.3,19.9,14.3,4.1,14.3,1.3,6.4,18.8,112.6,-4.2,1.4,108.2,99.7,18.1,7,0,-699.3261900093748,DeVon Hardin,51
225,22,76.0,0.594,0.587,12.8,15.5,14.2,5.1,13.6,1.3,6.5,17.8,149.3,-3.0,1.4,118.7,94.7,19.7,40,4,-700.3259954894668,Othello Hunter,52
190,22,127.0,0.545,0.494,2.3,9.6,6.0,37.3,21.3,2.4,0.4,20.0,154.3,5.6,1.3,114.7,96.1,17.5,9,5,-704.7288250403325,Jason Richards,53
229,24,93.7764705882353,0.5611294117647058,0.5319882352941175,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,16.05529411764706,2.0646341463414632,4.08048780487805,23.206097560975607,146.01058823529405,-2.9073170731707325,1.3482352941176472,111.15975609756096,95.70121951219511,19.890243902439018,2,0,-708.6854885909448,Marcus Hubbard,54
