Pick,Player,Team,Draft Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality
0,Tevian Jones,,,PF,6-7,200,22,0,Southern Utah,Sr,United States
0,Keshawn Justice,,,SF,6-7,225,23,0,Santa Clara,Sr,United States
0,Gabe Kalscheur,,,SG,6-4,194,24,0,Iowa State,Sr,United States
0,Yuki Kawamura,,,G,5-8,159,22,0,,2001 DOB,Japan
0,Miller Kopp,,,F,6-7,220,24,0,Indiana,Sr,United States
0,Matthew Mayer,,,SF,6-9,225,23,0,Illinois,Sr,United States
0,Caleb McConnell,,,GF,6-7,195,24,0,Rutgers,Sr,United States
0,Darius McGhee,,,G,5-9,180,24,0,Liberty,Sr,United States
0,"Mike Miles, Jr.",,,G,6-2,195,20,0,TCU,Jr*,United States
0,Seth Millner,,,F,6-6,200,22,0,Toledo,Sr,United States
0,Omari Moore,,,F,6-6,195,22,0,San Jose State,Sr*,United States
0,Nick Ongenda,,,C,6-11,230,22,0,DePaul,Sr*,United States
0,Sam Peek,,,F,6-7,195,24,0,Stetson,Sr,United States
0,Justin Powell,,,SG,6-5,197,22,0,Washington State,Jr*,United States
0,Will Richardson,,,PG,6-5,170,23,0,Oregon,Sr,United States
0,Liam Robbins,,,C,7-0,250,23,0,Vanderbilt,Sr,United States
0,David Singleton,,,SG,6-4,210,24,0,UCLA,Sr,United States
0,Brandon Slater,,,SF,6-7,220,23,0,Villanova,Sr,United States
0,Jake Stephens,,,C,6-11,270,23,0,Chattanooga,Sr,United States
0,Erik Stevenson,,,G,6-4,205,24,0,West Virginia,Sr,United States
0,Drew Timme,,,F,6-10,235,22,0,Gonzaga,Sr*,United States
0,Azuolas Tubelis,,,F,6-10,245,21,0,Arizona,Jr*,Lithuania
0,Vincent Valerio-Bodon,,,GF,6-9,200,22,0,,2001 DOB,Hungary
0,Kamarion Williams,,,F,6-10,250,23,0,LSU,Sr,United States
0,Charles Bediako,,,FC,7-0,225,21,1,Alabama,So*,Canada
0,Malcolm Cazalon,,,G,6-6,185,21,1,KK Mega Bemax (Serbia),2001 DOB,France
0,Ricky Council IV,,,G,6-6,207,21,1,Arkansas,Jr*,United States
0,Adam Flagler,,,G,6-3,180,23,1,Baylor,Sr*,United States
0,Sir'Jabari Rice,,,G,6-4,180,24,1,Texas,Sr,United States
0,Adama Sanogo,,,PF,6-9,245,21,1,UConn,Jr*,Mali
0,Jacob Toppin,,,SF,6-8,200,23,1,Kentucky,Sr*,United States
0,Oscar Tshiebwe,,,F,6-8,255,23,1,Kentucky,Sr*,Democratic Republic of the Congo
0,Chase Audige,,,SG,6-4,200,23,0,Northwestern,Sr*,United States
0,Souley Boum,,,G,6-3,175,24,0,Xavier,Sr,United States
0,Javonte Cooke,,,G,6-6,185,23,0,Winston-Salem State,Sr,United States
0,Caleb Daniels,,,G,6-4,210,24,0,Villanova,Sr,United States
0,Taylor Funk,,,PF,6-8,230,25,0,Utah State,Sr,United States
0,Jazian Gortman,,,G,6-2,184,20,0,Overtime Elite (Georgia),2003 DOB,United States
0,Joey Hauser,,,PF,6-9,230,23,0,Michigan State,Sr*,United States
0,Javan Johnson,,,F,6-6,192,24,0,DePaul,Sr,United States
0,Jarkel Joiner,,,G,6-1,181,24,0,NC State,Sr,United States
0,Hunter Maldonado,,,SF,6-7,202,24,0,Wyoming,Sr,United States
0,Joirdon Nicholas,,,F,6-9,220,24,0,Texas Southern,Sr,United States
0,Landers Nolley II,,,SF,6-7,208,23,0,Cincinnati,Sr*,United States
0,Kevin Obanor,,,F,6-8,235,24,0,Texas Tech,Sr,United States
0,Nate Roberts,,,PF,6-11,235,23,0,Motor City Cruise,2000 DOB,United States
0,Malachi Smith,,,G,6-4,205,23,0,Gonzaga,Sr*,United States
0,Jordan Walker,,,G,5-11,170,23,0,UAB,Sr,United States
